Date,TWD,TWS
2016-09-25 08:48:14,340,30.0287
2016-09-25 08:48:18,314,27.1941
2016-09-25 08:48:22,326,29.2775
2016-09-25 08:48:26,299,25.4499
2016-09-25 08:48:30,278,21.8294
2016-09-25 08:48:34,262,21.4237
2016-09-25 08:48:38,263,21.2055
2016-09-25 08:48:42,319,26.6833
2016-09-25 08:48:46,339,27.7188
2016-09-25 08:48:50,244,19.6275
2016-09-25 08:48:54,276,25.449
2016-09-25 08:48:58,264,23.6391
2016-09-25 08:49:02,268,24.195
2016-09-25 08:49:06,267,23.5929
2016-09-25 08:49:10,269,23.8293
2016-09-25 08:49:15,267,23.5825
2016-09-25 08:49:19,234,21.1928
2016-09-25 08:49:23,250,21.9326
2016-09-25 08:49:31,292,29.8676
2016-09-25 08:49:35,274,22.2371
2016-09-25 08:49:39,217,15.8035
2016-09-25 08:49:43,223,15.9048
2016-09-25 08:49:47,262,18.676
2016-09-25 08:49:51,229,16.3364
2016-09-25 08:49:55,253,20.1328
2016-09-25 08:49:59,256,20.218
2016-09-25 08:50:03,232,16.3402
2016-09-25 08:50:11,278,22.4127
2016-09-25 08:50:15,265,18.1127
2016-09-25 08:50:19,262,15.9035
2016-09-25 08:50:23,239,14.8078
2016-09-25 08:50:27,259,16.3978
2016-09-25 08:50:31,233,13.6144
2016-09-25 08:50:35,232,14.2753
2016-09-25 08:50:39,245,15.3803
2016-09-25 08:50:43,252,15.6438
2016-09-25 08:50:47,249,15.9519
2016-09-25 08:50:51,232,14.7467
2016-09-25 08:50:55,269,18.2598
2016-09-25 08:50:59,248,9.85064
2016-09-25 08:51:03,270,9.18106
2016-09-25 08:51:07,250,10.512
2016-09-25 08:51:11,281,11.5501
2016-09-25 08:51:15,196,17.362
2016-09-25 08:51:19,241,15.042
2016-09-25 08:51:23,255,15.3362
2016-09-25 08:51:27,216,18.3918
2016-09-25 08:51:31,254,17.5008
2016-09-25 08:51:35,253,17.2946
2016-09-25 08:51:39,226,18.6336
2016-09-25 08:51:43,247,19.238
2016-09-25 08:51:47,236,17.4461
2016-09-25 08:51:52,225,16.3696
2016-09-25 08:51:56,219,16.9806
2016-09-25 08:52:00,224,15.5103
2016-09-25 08:52:04,278,14.7348
2016-09-25 08:52:08,225,15.0534
2016-09-25 08:52:12,215,16.3607
2016-09-25 08:52:16,238,14.5104
2016-09-25 08:52:20,231,16.6098
2016-09-25 08:52:24,267,16.8825
2016-09-25 08:52:28,233,16.1896
2016-09-25 08:52:32,227,17.7101
2016-09-25 08:52:36,219,20.2564
2016-09-25 08:52:40,246,17.8483
2016-09-25 08:52:44,257,17.0633
2016-09-25 08:52:48,241,16.7349
2016-09-25 08:52:52,268,15.7672
2016-09-25 08:52:56,280,15.8696
2016-09-25 08:53:00,236,17.0892
2016-09-25 08:53:04,225,19.5009
2016-09-25 08:53:08,230,20.4005
2016-09-25 08:53:12,264,18.95
2016-09-25 08:53:16,271,16.9311
2016-09-25 08:53:20,266,16.5464
2016-09-25 08:53:24,262,18.1634
2016-09-25 08:53:28,261,16.8679
2016-09-25 08:53:32,269,18.4896
2016-09-25 08:53:36,236,21.0682
2016-09-25 08:53:40,265,19.4793
2016-09-25 08:53:44,269,19.2932
2016-09-25 08:53:48,277,21.126
2016-09-25 08:53:52,276,19.6588
2016-09-25 08:53:56,241,18.5602
2016-09-25 08:54:00,276,15.7465
2016-09-25 08:54:04,262,16.6416
2016-09-25 08:54:09,295,16.3354
2016-09-25 08:54:13,248,17.3206
2016-09-25 08:54:17,293,16.5729
2016-09-25 08:54:21,263,17.7984
2016-09-25 08:54:24,278,17.8894
2016-09-25 08:54:29,309,19.1654
2016-09-25 08:54:33,270,18.4737
2016-09-25 08:54:37,271,21.0352
2016-09-25 08:54:41,243,21.2923
2016-09-25 08:54:45,281,19.3292
2016-09-25 08:54:49,273,19.4709
2016-09-25 08:54:53,289,18.4955
2016-09-25 08:54:57,289,18.1206
2016-09-25 08:55:01,276,18.1938
2016-09-25 08:55:05,265,18.2028
2016-09-25 08:55:09,272,17.8283
2016-09-25 08:55:13,270,18.3502
2016-09-25 08:55:17,260,19.1906
2016-09-25 08:55:21,252,19.9365
2016-09-25 08:55:25,271,18.2216
2016-09-25 08:55:29,284,19.9858
