Date,TWD,TWS
0,324,
4,326,
8,312,
12,321,
16,320,
20,319,
24,307,
28,310,
32,319,
36,315,
40,320,
44,314,
48,319,
52,318,
56,321,
60,322,
64,317,
68,321,
72,319,
76,319,
80,309,
84,316,
88,323,
92,318,
96,323,
100,317,
104,319,
108,315,
112,310,
116,317,
120,317,
124,322,
128,324,
132,324,
136,319,
140,322,
144,315,
148,306,
152,321,
156,315,
160,319,
164,317,
168,313,
172,322,
176,313,
180,313,
184,307,
188,318,
192,322,
196,316,
200,316,
204,316,
208,320,
212,315,
216,317,
220,325,
224,313,
228,315,
232,316,
236,318,
240,322,
244,318,
248,319,
252,311,
256,323,
260,319,
264,313,
268,321,
272,320,
276,320,
280,321,
284,319,
288,314,
292,316,
296,318,
300,321,
304,315,
308,316,
312,321,
316,318,
320,312,
324,316,
328,321,
332,320,
336,315,
340,319,
344,319,
348,313,
352,317,
356,318,
360,316,
364,308,
368,304,
372,301,
376,320,
380,319,
384,315,
388,303,
392,311,
396,314,
400,333,
404,311,
408,301,
412,303,
416,312,
420,317,
424,320,
428,317,
432,316,
436,310,
440,318,
444,313,
448,313,
452,313,
456,315,
460,320,
464,319,
468,307,
472,315,
476,304,
480,311,
484,312,
488,324,
492,321,
496,319,
500,317,
504,315,
508,319,
512,320,
516,315,
520,313,
524,317,
528,313,
532,317,
536,316,
540,312,
544,311,
548,307,
552,329,
556,316,
560,318,
564,311,
568,318,
572,311,
576,320,
580,315,
584,314,
588,316,
592,315,
596,317,
600,315,
604,310,
608,300,
612,299,
616,317,
620,307,
624,308,
628,316,
632,316,
636,314,
640,313,
644,313,
648,319,
652,314,
656,315,
660,320,
664,317,
668,323,
672,317,
676,315,
680,320,
684,319,
688,311,
692,314,
696,319,
700,318,
704,316,
708,316,
712,313,
716,315,
720,319,
724,320,
728,317,
732,320,
736,317,
740,328,
744,316,
748,322,
752,310,
756,321,
760,321,
764,320,
768,311,
772,315,
776,320,
780,312,
784,314,
788,318,
792,316,
796,309,
800,323,
804,319,
808,312,
812,318,
816,310,
820,306,
824,306,
828,313,
832,315,
836,310,
840,318,
844,309,
848,312,
852,313,
856,316,
860,320,
864,313,
868,318,
872,317,
876,316,
880,315,
884,316,
888,319,
892,314,
896,300,
900,313,
904,315,
908,315,
912,316,
916,320,
920,312,
924,318,
928,306,
932,320,
936,314,
940,321,
944,330,
948,322,
952,332,
956,314,
960,313,
964,319,
968,319,
972,315,
976,322,
980,319,
984,319,
988,321,
992,304,
996,322,
1000,316,
1004,320,
1008,319,
1012,315,
1016,309,
1020,321,
1024,322,
1028,321,
1032,316,
1036,318,
1040,319,
1044,317,
1048,320,
1052,317,
1056,314,
1060,304,
1064,313,
1068,317,
1072,313,
1076,311,
1080,319,
1084,318,
1088,320,
1092,319,
1096,322,
1100,323,
1104,322,
1108,317,
1112,317,
1116,315,
1120,323,
1124,324,
1128,322,
1132,324,
1136,309,
1140,315,
1144,322,
1148,317,
1152,312,
1156,307,
1160,307,
1164,311,
1168,318,
1172,314,
1176,316,
1180,309,
1184,313,
1188,322,
1192,324,
1196,311,
1200,318,
1204,316,
1208,321,
1212,317,
1216,314,
1220,316,
1224,314,
1228,319,
1232,314,
1236,316,
1240,315,
1244,321,
1248,317,
1252,310,
1256,316,
1260,312,
1264,322,
1268,316,
1272,325,
1276,319,
1280,317,
1284,316,
1288,313,
1292,317,
1296,315,
1300,318,
1304,312,
1308,318,
1312,322,
1316,314,
1320,317,
1324,316,
1328,315,
1332,320,
1336,322,
1340,320,
1344,315,
1348,321,
1352,321,
1356,322,
1360,319,
1364,321,
1368,310,
1372,317,
1376,304,
1380,316,
1384,317,
1388,320,
1392,315,
1396,322,
1400,316,
1404,324,
1408,313,
1412,317,
1416,313,
1420,318,
1424,315,
1428,325,
1432,316,
1436,315,
1440,314,
1444,311,
1448,317,
1452,322,
1456,314,
1460,320,
1464,315,
1468,321,
1472,315,
1476,316,
1480,320,
1484,319,
1488,312,
1492,320,
1496,320,
1500,317,
1504,319,
1508,321,
1512,310,
1516,319,
1520,314,
1524,322,
1528,304,
1532,317,
1536,323,
1540,322,
1544,319,
1548,317,
1552,316,
1556,320,
1560,322,
1564,318,
1568,322,
1572,318,
1576,322,
1580,314,
1584,318,
1588,317,
1592,318,
1596,322,
1600,320,
1604,320,
1608,319,
1612,320,
1616,319,
1620,315,
1624,316,
1628,317,
1632,321,
1636,317,
1640,320,
1644,316,
1648,319,
1652,314,
1656,315,
1660,323,
1664,316,
1668,319,
1672,315,
1676,315,
1680,316,
1684,315,
1688,318,
1692,319,
1696,315,
1700,318,
1704,318,
1708,320,
1712,318,
1716,320,
1720,318,
1724,319,
1728,318,
1732,319,
1736,319,
1740,309,
1744,311,
1748,311,
1752,313,
1756,312,
1760,312,
1764,313,
1768,316,
1772,315,
1776,323,
1780,312,
1784,311,
1788,310,
1792,318,
1796,322,
1800,318,
1804,308,
1808,321,
1812,314,
1816,317,
1820,317,
1824,319,
1828,320,
1832,317,
1836,310,
1840,319,
1844,318,
1848,316,
1852,308,
1856,318,
1860,322,
1864,317,
1868,314,
1872,316,
1876,314,
1880,319,
1884,319,
1888,315,
1892,314,
1896,314,
1900,317,
1904,319,
1908,312,
1912,323,
1916,321,
1920,306,
1924,315,
1928,316,
1932,322,
1936,317,
1940,320,
1944,315,
1948,317,
1952,320,
1956,319,
1960,313,
1964,311,
1968,325,
1972,325,
1976,319,
1980,317,
1984,316,
1988,310,
1992,311,
1996,313,
2000,311,
2004,326,
2008,319,
2012,317,
2016,315,
2020,320,
2024,318,
2028,313,
2032,320,
2036,309,
2040,306,
2044,318,
2048,317,
2052,314,
2056,321,
2060,312,
2064,319,
2068,320,
2072,319,
2076,315,
2080,317,
2084,326,
2088,324,
2092,316,
2096,309,
2100,318,
2104,317,
2108,320,
2112,314,
2116,323,
2120,323,
2124,312,
2128,323,
2132,323,
2136,321,
2140,318,
2144,308,
2148,314,
2152,324,
2156,313,
2160,321,
2164,320,
2168,306,
2172,314,
2176,317,
2180,319,
2184,316,
2188,318,
2192,313,
2196,317,
2200,314,
2204,310,
2208,323,
2212,325,
2216,323,
2220,317,
2224,323,
2228,317,
2232,316,
2236,315,
2240,316,
2244,322,
2248,317,
2252,317,
2256,318,
2260,316,
2264,312,
2268,320,
2272,306,
2276,325,
2280,309,
2284,317,
2288,322,
2292,321,
2296,313,
2300,316,
2304,318,
2308,317,
2312,307,
2316,306,
2320,319,
2324,315,
2328,313,
2332,323,
2336,320,
2340,314,
2344,321,
2348,305,
2352,317,
2356,319,
2360,317,
2364,321,
2368,320,
2372,317,
2376,309,
2380,325,
2384,320,
2388,318,
2392,318,
2396,315,
2400,315,
2404,317,
2408,320,
2412,319,
2416,315,
2420,315,
2424,316,
2428,317,
2432,322,
2436,319,
2440,316,
2444,319,
2448,316,
2452,318,
2456,318,
2460,314,
2464,313,
2468,319,
2472,319,
2476,318,
2480,319,
2484,320,
2488,319,
2492,319,
2496,316,
2500,315,
2504,316,
2508,316,
2512,320,
2516,314,
2520,317,
2524,314,
2528,315,
2532,313,
2536,323,
2540,312,
2544,312,
2548,311,
2552,327,
2556,321,
2560,327,
2564,315,
2568,318,
2572,317,
2576,313,
2580,320,
2584,315,
2588,314,
2592,317,
2596,316,
2600,317,
2604,319,
2608,315,
2612,315,
2616,315,
2620,316,
2624,320,
2628,314,
2632,316,
2636,317,
2640,324,
2644,321,
2648,322,
2652,320,
2656,312,
2660,321,
2664,319,
2668,321,
2672,324,
2676,317,
2680,318,
2684,315,
2688,319,
2692,322,
2696,319,
2700,320,
2704,321,
2708,316,
2712,319,
2716,319,
2720,320,
2724,318,
2728,319,
2732,320,
2736,320,
2740,317,
2744,319,
2748,311,
2752,311,
2756,314,
2760,317,
2764,318,
2768,319,
2772,315,
2776,317,
2780,321,
2784,322,
2788,325,
2792,319,
2796,313,
2800,314,
2804,316,
2808,319,
2812,313,
2816,320,
2820,326,
2824,319,
2828,320,
2832,318,
2836,319,
2840,319,
2844,321,
2848,321,
2852,319,
2856,312,
2860,320,
2864,321,
2868,312,
2872,311,
2876,316,
2880,314,
2884,319,
2888,314,
2892,318,
2896,319,
2900,317,
2904,312,
2908,318,
2912,321,
2916,318,
2920,317,
2924,322,
2928,319,
2932,318,
2936,316,
2940,318,
2944,321,
2948,323,
2952,320,
2956,323,
2960,325,
2964,317,
2968,317,
2972,320,
2976,326,
2980,318,
2984,322,
2988,317,
2992,324,
2996,322,
3000,316,
3004,320,
3008,320,
3012,326,
3016,320,
3020,314,
3024,318,
3028,320,
3032,318,
3036,324,
3040,318,
3044,325,
3048,305,
3052,320,
3056,321,
3060,325,
3064,322,
3068,306,
3072,314,
3076,321,
3080,315,
3084,309,
3088,324,
3092,320,
3096,314,
3100,323,
3104,318,
3108,325,
3112,317,
3116,316,
3120,305,
3124,310,
3128,316,
3132,318,
3136,321,
3140,328,
3144,319,
3148,317,
3152,319,
3156,321,
3160,323,
3164,317,
3168,328,
3172,320,
3176,309,
3180,319,
3184,314,
3188,321,
3192,320,
3196,317,
3200,320,
3204,325,
3208,321,
3212,319,
3216,317,
3220,318,
3224,324,
3228,316,
3232,326,
3236,318,
3240,320,
3244,317,
3248,317,
3252,320,
3256,318,
3260,320,
3264,318,
3268,313,
3272,318,
3276,317,
3280,314,
3284,319,
3288,324,
3292,321,
3296,319,
